WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
22;61;01;1;0933016;14319;ul.;Norwida;Cypriana Kamila;2019-09-18
22;61;01;1;0933016;03191;ul.;Cyprysowa;;2019-09-18
22;61;01;1;0933016;03206;ul.;Cystersów;;2019-09-18
22;61;01;1;0933016;03211;ul.;Cytrowa;;2019-09-18
22;61;01;1;0933016;03227;ul.;Czajki;;2019-09-18
22;61;01;1;0933016;39595;ul.;Czaplewska;;2019-09-18
22;61;01;1;0933016;03266;ul.;Czarna;;2019-09-18
22;61;01;1;0933016;03310;ul.;Czarny Dwór;;2019-09-18
22;61;01;1;0933016;03371;ul.;Czeremchowa;;2019-09-18
22;61;01;1;0933016;03376;ul.;Czereśniowa;;2019-09-18
22;61;01;1;0933016;03403;ul.;Czerska;;2019-09-18
22;61;01;1;0933016;03411;ul.;Czerwcowa;;2019-09-18
22;61;01;1;0933016;03443;ul.;Czerwony Dwór;;2019-09-18
22;61;01;1;0933016;12964;ul.;Miłosza;Czesława;2019-09-18
22;61;01;1;0933016;36978;skwer;Niemena;Czesława;2019-09-18
22;61;01;1;0933016;03458;ul.;Częstochowska;;2019-09-18
22;61;01;1;0933016;03461;ul.;Człuchowska;;2019-09-18
22;61;01;1;0933016;03470;ul.;Czopowa;;2019-09-18
22;61;01;1;0933016;03536;ul.;Czyżyków;;2019-09-18
22;61;01;1;0933016;03701;ul.;Dąbrówki;;2019-09-18
22;61;01;1;0933016;03557;ul.;Daleka;;2019-09-18
22;61;01;1;0933016;03566;ul.;Daliowa;;2019-09-18
22;61;01;1;0933016;32286;ul.;Tilgnera;Damazego;2019-09-18
22;61;01;1;0933016;03578;ul.;Damroki;;2019-09-18
22;61;01;1;0933016;02808;ul.;Chodowieckiego;Daniela;2019-09-18
22;61;01;1;0933016;04871;ul.;Fahrenheita;Daniela;2019-09-18
22;61;01;1;0933016;03605;ul.;Danusi;;2019-09-18
22;61;01;1;0933016;30399;pl.;Kobzdeja;Dariusza;2019-09-18
22;61;01;1;0933016;03616;ul.;Darłowska;;2019-09-18
22;61;01;1;0933016;03622;ul.;Daru Pomorza;;2019-09-18
22;61;01;1;0933016;03628;ul.;Darżlubska;;2019-09-18
22;61;01;1;0933016;03799;ul.;Dębinki;;2019-09-18
22;61;01;1;0933016;03809;ul.;Dębogórska;;2019-09-18
22;61;01;1;0933016;03811;ul.;Dębowa;;2019-09-18
22;61;01;1;0933016;03719;ul.;Dedala;;2019-09-18
22;61;01;1;0933016;03733;ul.;Delfina;;2019-09-18
22;61;01;1;0933016;03762;ul.;Deotymy;;2019-09-18
22;61;01;1;0933016;03826;ul.;Diamentowa;;2019-09-18
22;61;01;1;0933016;03827;ul.;Diany;;2019-09-18
22;61;01;1;0933016;03835;ul.;Dionizosa;;2019-09-18
22;61;01;1;0933016;03839;ul.;Długa;;2019-09-18
22;61;01;1;0933016;03840;ul.;Długa Grobla;;2019-09-18
22;61;01;1;0933016;03843;ul.;Długi Targ;;2019-09-18
22;61;01;1;0933016;03844;ul.;Długie Ogrody;;2019-09-18
22;61;01;1;0933016;32519;ul.;Długie Pobrzeże;;2019-09-18
22;61;01;1;0933016;03906;ul.;Do Studzienki;;2019-09-18
22;61;01;1;0933016;03928;ul.;Dobra;;2019-09-18
22;61;01;1;0933016;03996;ul.;Dobrzyńskich;;2019-09-18
22;61;01;1;0933016;04003;ul.;Dojazdowa;;2019-09-18
22;61;01;1;0933016;04007;ul.;Dokerów;;2019-09-18
22;61;01;1;0933016;04009;ul.;Doki;;2019-09-18
22;61;01;1;0933016;04034;ul.;Dolna;;2019-09-18
22;61;01;1;0933016;04037;ul.;Dolna Brama;;2019-09-18
22;61;01;1;0933016;38656;ul.;Dolne Migowo;;2019-09-18
22;61;01;1;0933016;04044;ul.;Dolne Młyny;;2019-09-18
22;61;01;1;0933016;04103;pl.;Dominikański;;2019-09-18
22;61;01;1;0933016;39251;pl.;Michalaka;dr. Stefana;2019-09-18
22;61;01;1;0933016;41066;ul.;Paneckiego;dr. Władysława;2019-09-18
22;61;01;1;0933016;04168;ul.;Drawska;;2019-09-18
22;61;01;1;0933016;04267;ul.;Drożyny;;2019-09-18
22;61;01;1;0933016;04286;ul.;Drużyn Strzeleckich;;2019-09-18
22;61;01;1;0933016;04291;ul.;Drwęcka;;2019-09-18
22;61;01;1;0933016;04378;ul.;Dulkowa;;2019-09-18
22;61;01;1;0933016;04434;ul.;Dworcowa;;2019-09-18
22;61;01;1;0933016;04438;pl.;Dworcowy;;2019-09-18
22;61;01;1;0933016;04441;ul.;Dworkowa;;2019-09-18
22;61;01;1;0933016;04446;ul.;Dworska;;2019-09-18
22;61;01;1;0933016;04501;ul.;Dylinki;;2019-09-18
22;61;01;1;0933016;04526;ul.;Dyrekcyjna;;2019-09-18
22;61;01;1;0933016;26927;ul.;Dywizji Wołyńskiej;;2019-09-18
22;61;01;1;0933016;04561;ul.;Dywizjonu 303;;2019-09-18
22;61;01;1;0933016;04592;ul.;Dziana;;2019-09-18
22;61;01;1;0933016;04626;ul.;Dzielna;;2019-09-18
22;61;01;1;0933016;04722;ul.;Dźwigowa;;2019-09-18
22;61;01;1;0933016;04715;ul.;Dzwonki;;2019-09-18
22;61;01;1;0933016;01305;ul.;Biernackiego;Edmunda;2019-09-18
22;61;01;1;0933016;20766;ul.;Stachury;Edwarda;2019-09-18
22;61;01;1;0933016;37972;ul.;Egiertowska;;2019-09-18
22;61;01;1;0933016;04758;ul.;Elbląska;;2019-09-18
22;61;01;1;0933016;04780;ul.;Elewów;;2019-09-18
22;61;01;1;0933016;04781;ul.;Elfów;;2019-09-18
22;61;01;1;0933016;15211;ul.;Orzeszkowej;Elizy;2019-09-18
22;61;01;1;0933016;04788;ul.;Elżbietańska;;2019-09-18
22;61;01;1;0933016;06683;ul.;Hoene;Emilii;2019-09-18
22;61;01;1;0933016;16451;ul.;Plater;Emilii;2019-09-18
22;61;01;1;0933016;36388;ul.;Barzychowskiej;Erwiny;2019-09-18
22;61;01;1;0933016;10559;ul.;Kwiatkowskiego;Eugeniusza;2019-09-18
22;61;01;1;0933016;18846;ul.;Romera;Eugeniusza;2019-09-18
22;61;01;1;0933016;42797;ul.;Węgrzyna;Eugeniusza;2019-09-18
22;61;01;1;0933016;04843;ul.;Eurydyki;;2019-09-18
22;61;01;1;0933016;04863;ul.;Fabryczna;;2019-09-18
22;61;01;1;0933016;04879;ul.;Falista;;2019-09-18
22;61;01;1;0933016;04885;ul.;Falowa;;2019-09-18
22;61;01;1;0933016;35469;ul.;Muzyka;Feliksa;2019-09-18
22;61;01;1;0933016;14503;ul.;Nowowiejskiego;Feliksa;2019-09-18
22;61;01;1;0933016;04950;ul.;Feniksa;;2019-09-18
22;61;01;1;0933016;04981;ul.;Figowa;;2019-09-18
22;61;01;1;0933016;04994;ul.;Filaretów;;2019-09-18
22;61;01;1;0933016;05009;ul.;Filmowa;;2019-09-18
22;61;01;1;0933016;05010;ul.;Filomatów;;2019-09-18
22;61;01;1;0933016;05027;ul.;Fiołkowa;;2019-09-18
22;61;01;1;0933016;05069;ul.;Flisacka;;2019-09-18
22;61;01;1;0933016;02648;ul.;Ceynowy;Floriana;2019-09-18
22;61;01;1;0933016;05085;ul.;Floriańska;;2019-09-18
22;61;01;1;0933016;05090;ul.;Flory;;2019-09-18
22;61;01;1;0933016;05130;ul.;Forsycji;;2019-09-18
22;61;01;1;0933016;00986;ul.;Bellinga;Franciszka;2019-09-18
22;61;01;1;0933016;01695;ul.;Bohomolca;Franciszka;2019-09-18
22;61;01;1;0933016;06837;ul.;Hynka;Franciszka;2019-09-18
22;61;01;1;0933016;09917;ul.;Kręckiego;Franciszka;2019-09-18
22;61;01;1;0933016;10290;ul.;Kubacza;Franciszka;2019-09-18
22;61;01;1;0933016;11216;ul.;Liszta;Franciszka;2019-09-18
22;61;01;1;0933016;43461;ul.;Mamuszki;Franciszka;2019-09-18
22;61;01;1;0933016;18418;ul.;Rakoczego;Franciszka;2019-09-18
22;61;01;1;0933016;19618;ul.;Schuberta;Franciszka;2019-09-18
22;61;01;1;0933016;25267;ul.;Zabłockiego;Franciszka;2019-09-18
22;61;01;1;0933016;26267;ul.;Zubrzyckiego;Franciszka;2019-09-18
22;61;01;1;0933016;05184;ul.;Frezjowa;;2019-09-18
22;61;01;1;0933016;05188;ul.;Fromborska;;2019-09-18
22;61;01;1;0933016;02849;ul.;Chopina;Fryderyka;2019-09-18
22;61;01;1;0933016;05208;ul.;Fundacyjna;;2019-09-18
22;61;01;1;0933016;05209;ul.;Fundamentowa;;2019-09-18
22;61;01;1;0933016;14018;ul.;Narutowicza;Gabriela;2019-09-18
22;61;01;1;0933016;19312;ul.;Rzączyńskiego;Gabriela;2019-09-18
22;61;01;1;0933016;05265;ul.;Gajowa;;2019-09-18
22;61;01;1;0933016;05272;ul.;Galaktyczna;;2019-09-18
22;61;01;1;0933016;05283;ul.;Galileusza;;2019-09-18
22;61;01;1;0933016;05321;ul.;Garbary;;2019-09-18
22;61;01;1;0933016;05332;ul.;Garczyńska;;2019-09-18
22;61;01;1;0933016;05345;ul.;Garncarska;;2019-09-18
22;61;01;1;0933016;05404;ul.;Gazownicza;;2019-09-18
22;61;01;1;0933016;05431;ul.;Gdańska;;2019-09-18
22;61;01;1;0933016;05436;ul.;Gdańskiego Kolejarza;;2019-09-18
22;61;01;1;0933016;05441;ul.;Gdyńska;;2019-09-18
22;61;01;1;0933016;05443;ul.;Gdyńskich Kosynierów;;2019-09-18
22;61;01;1;0933016;41018;ul.;Giełguda;gen. Antoniego;2019-09-18
22;61;01;1;0933016;04976;ul.;Fieldorfa;gen. Augusta Emila;2019-09-18
22;61;01;1;0933016;01809;ul.;Bora-Komorowskiego;gen.;2019-09-18
22;61;01;1;0933016;05362;ul.;de Gaulle'a;gen.;2019-09-18
22;61;01;1;0933016;44989;ul.;Zawackiej;gen. Elżbiety;2019-09-18
22;61;01;1;0933016;03673;ul.;Dąbrowskiego;gen. Henryka;2019-09-18
22;61;01;1;0933016;01014;ul.;Bema;gen. Józefa;2019-09-18
22;61;01;1;0933016;05044;ul.;Fiszera;gen. Józefa;2019-09-18
22;61;01;1;0933016;06482;al.;Hallera;gen. Józefa;2019-09-18
22;61;01;1;0933016;20625;ul.;Sowińskiego;gen. Józefa;2019-09-18
22;61;01;1;0933016;41033;pl.;Wybickiego;gen. Józefa;2019-09-18
22;61;01;1;0933016;20596;ul.;Sosnkowskiego;gen. Kazimierza;2019-09-18
22;61;01;1;0933016;14929;ul.;Okulickiego;gen. Leopolda;2019-09-18
22;61;01;1;0933016;11861;pl.;Maczka;gen. Stanisława;2019-09-18
22;61;01;1;0933016;06191;ul.;Grota-Roweckiego;gen. Stefana;2019-09-18
22;61;01;1;0933016;19904;al.;Sikorskiego;gen. Władysława;2019-09-18
22;61;01;1;0933016;05452;ul.;Geodetów;;2019-09-18
22;61;01;1;0933016;05466;ul.;Gerwazego;;2019-09-18
22;61;01;1;0933016;05476;ul.;Gęsia;;2019-09-18
